,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
0,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
1,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
2,Data Scientist,Groom & Associates,"Montréal, QC",28 days ago,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
3,Data Scientist,Walmart Canada,"Mississauga, ON",3 days ago,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,3 days ago,0,0,1
4,Full-time opportunities for students & recent graduates: Data & Applied Sciences,Microsoft,Canada,30+ days ago,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,30+ days ago,0,0,0
5,Data Science & Engineering Graduate Programme - GBM,HSBC,"Toronto, ON",save job,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
6,Junior Data Scientist,RBC,"Toronto, ON",1 day ago,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1 day ago,0,0,0
7,Python Data Scientist,Coinscious,"Toronto, ON",save job,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
8,Junior Data Scientist,PUSH,"Toronto, ON",30+ days ago,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,0
9,Data Scientist- Machine Learning,"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",11 days ago,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,11 days ago,0,0,1
10,Data Scientist Intern - Toronto,"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",11 days ago,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,11 days ago,0,0,1
11,Data Scientist,Knowtions Research,"Toronto, ON",11 days ago,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,11 days ago,0,0,0
12,Engine Oil System Analyst/Data Scientist (DPHM),Aviya Aerospace Systems,"Mississauga, ON",2 days ago,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2 days ago,0,0,0
13,Data Scientist,EllisDon Corporation,"Mississauga, ON",6 days ago,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,6 days ago,0,0,0
14,Jr Data Scientist,FOUND PEOPLE INC.,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
15,Data Scientist - Forecasting,"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",11 days ago,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,11 days ago,0,0,1
16,Lead Data Scientist - International,Shopify,"Toronto, ON",16 hours ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16 hours ago,1,0,0
17,Data Scientist,Quartic.ai,"Oakville, ON",30+ days ago,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
18,Data Scientist - People Analytics,Shopify,"Ottawa, ON",3 days ago,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3 days ago,0,0,0
19,Data Scientist,RBC,"Toronto, ON",17 days ago,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,17 days ago,0,0,0
20,Data Scientist,Wawanesa,"Winnipeg, MB",8 days ago,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,8 days ago,0,0,0
21,Senior Data Scientist,Corl,"Toronto, ON",save job,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
22,Lead Data Scientist - App & Partner Platform,Shopify,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
23,Research Scientist (FT),Waypoint Centre for Mental Health Care,"Penetanguishene, ON",2 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2 days ago,1,0,0
24,Jr. Data Scientist,Searidge Technologies,"Ottawa, ON",7 days ago,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7 days ago,0,0,0
25,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
26,Data Scientist,Groom & Associates,"Montréal, QC",28 days ago,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
27,Lead Data Scientist - App & Partner Platform,Shopify,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
28,Data Scientist,Canadian Tire Corporation,"Toronto, ON",8 days ago,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,8 days ago,1,1,0
29,Data Scientist Intern,Best Buy Canada,"Burnaby, BC",9 days ago,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9 days ago,1,0,0
30,Data Scientist,Agility consulting Inc,"Richmond Hill, ON",save job,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,save job,0,0,0
31,Data Scientist (Markham),Opta Information Intelligence Corp.,"Markham, ON",5 days ago,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5 days ago,0,0,0
32,Data Scientist,Fiddlehead,"Moncton, NB",10 days ago,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,10 days ago,0,0,0
33,Data Scientist,WGames Inc.,"Toronto, ON",14 days ago,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,14 days ago,0,0,0
34,"Data Scientist, Consultant",KPMG LLP,"Toronto, ON",30+ days ago,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
35,Data Scientist,FOUND PEOPLE INC.,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
36,Data Scientist,BrainStation,"Toronto, ON",9 days ago,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,9 days ago,0,0,0
37,Data Scientist I,Ingram Micro,"Toronto, ON",30+ days ago,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,30+ days ago,0,0,0
38,Post 1011: Data Scientist,Crescendo Technology Ltd.,"North York, ON",save job,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
39,"Data Scientist, Data Quality Labs - Toronto, ON",Scotiabank,"Toronto, ON",8 days ago,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,8 days ago,0,0,0
