,job_title,company_name,job_location,date,job_description,Big Data,C/C++,Cloud,Data Mining/Analytics,DevOps,Excel,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,leadership,problem solving,project_management
0,Not found,Not found,Not found,Not found,Not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,"Who we are: SPORTLOGiQ is the leading provider of advanced analytics data for professional sports teams and broadcast media. As a Data Scientist, you will be a part of our highly talented research team, building our next generation advanced sport analytics platform. To be successful in this role, you must be a fast learner and have the ability to thrive in a dynamic environment; combining conceptual and applied research, entrepreneurship, systems building and collaborative work. You will work together with similarly-minded individuals on a unique development team where your skills and expertise will be put to the test! This is a once-in-a-lifetime opportunity to help shape the future of sport analysis, coaching and media storytelling.Our ideal candidate would have strong experience in developing novel statistical modeling techniques and applying them to solve real-world problems. The selected candidate will be part of the sport analytics research team, and will be in charge of the development of novel descriptive and predictive models for sport games data.What you'll need: Graduate degree (PhD preferred) with research experience in applied statistical modelingSolid skills in C/C++, Python, R, or JuliaAbility to develop novel metrics and models on large, complex dataDeep understanding of statistical theory and modelingStrong working knowledge of data science best practicesNice to have: Research experience and publications in relevant fields in top-tier conferences and journalsUp-to-date knowledge and understanding of recent advances in statistics and machine learning, particularly sports analytics and spatio-temporal modelingResearch experience in time series analysis, spatial modeling, and methods for big dataPractical experience with Stan, INLA, Keras, or related frameworksWhat We Offer: Competitive salaryFlexible work scheduleBonus structure and employees stock optionsComprehensive benefits programA cooperative and fun work environmentFreedom to work on your own projectsDog friendly officeAn endless coffee, tea and candy bar!Job Type: Full-timeEducation:Doctoral Degree (Preferred)Location:Montréal, QC (Preferred)",0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Data Scientist,Loblaw Digital,"Toronto, ON",30+ days ago,"As Canada’s largest retailer, with well-established and widely-used loyalty programs, we have an enviable wealth of data at our disposal – and it’s now time to deploy it in the service of an evolving and superior customer experience. The data science team here is small, but growing fast. More importantly, the data science team is more than just analytics: we ship actual product, in the form of models that directly impact user experience.

We’re looking to increase the engineering horsepower of our data science team so that we can work seamlessly with the regular applications engineering organization on joint projects. We’re looking for a solid software engineer with a data science background who is comfortable in both worlds, can contribute to ambitious ML-based projects, but also help us to write reliable microservices and stream-processing systems to deliver data and insights downstream at the pace required by the business. Experience working with NLP and/or ML techniques is preferred, though is secondary to your software engineering skillset for this role.

Responsibilities:

Work cross-functionally with engineering, product, and data science teams to expose the work of the data science team to the broader organization through a Service Oriented Architecture (SOA)
Develop robust, high performance streaming solutions for transforming the various data sources produced by other parts of the business into training data, inputs to models, and actionable insights
Build scalable personalization and recommendation features for the Loblaw Digital eCommerce platform
Develop predictive models to help inform business decisions based upon shifts in consumer behavior.

Minimum qualifications:
BA/BS in math, engineering, computer science, or related technical field, or equivalent practical experience
2 years’ work or educational experience in Machine Learning or Artificial Intelligence
Proficient in at least 1 compiled language, and at least 1 other programming language
Familiar with the concepts and idioms of functional programming
Comfortable with at least some of the latest “big-data” tools, such as spark, kafka, hive, beam, etc.
Experience with at least one modern REST framework (flask/Sinatra/express/etc)
Preferred qualifications:
MS or PhD in math, engineering, computer science, or related technical field, or equivalent practical experience
Familiar with JVM languages and associated ecosystem
Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar
Experience with cloud environments such as AWS/GCP/Azure

#LI-BT1


How You’ll Succeed:
At Loblaw Digital, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections.

We’re able to keep innovating because our colleagues are passionate about their work and excited about the future of eCommerce.

If you have big ideas, undeniable enthusiasm, and thrive in a collaborative, creative, and diverse group, we’ll get along just fine.

Looking for a challenge? Good. Love an innovative work environment? Even better.
Apply today.


Employment Type:
Full time


Type of Role:
Regular


Loblaw Digital recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.

In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.
Please Note: If you have Employee Self Service (ESS) on Workday, apply to this job via the Workday application.",1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,Data Scientist I,TD Bank,"Toronto, ON",3 hours ago,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com

Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.
As part of our Data and Analytics team, you'll be a fundamental part of crafting business processes enterprise-wide by analyzing vast amounts of past and present data.
TD's vision for the future? Tailored, customized banking products, services and experiences for every single customer. If you've been in business as long as we have, you know there's no such thing as one size fits all, and a diverse, inclusive Data Analytics team is a massive part of that future achievement.

Time Type Full Time

Employment Type Regular

Hours 37.5

Business Line Corporate

Job Family Advanced Analytics & Modelling

Job Category - Primary Enterprise Data & Analytics

Job Category(s) Enterprise Data & Analytics

Job Description
About this Role
You are eager to provide your burgeoning technical expertise as part of a team that takes on consistently complex projects across a wide range of business units. You are familiar with data functions including data modelling, visualization, data profiling, data origin and lineage, report design and more. You will employ these disciplines to help create data related solutions to drive business results. You thrive on positive feedback and use your specialized knowledge to implement feedback systems that evaluate your team's progress and create innovative new ways improve your overall performance.
We are looking for someone to work as part of a trailblazing team of data scientists who create groundbreaking analytical solutions that improve our core work enterprise wide.
As a Data Scientist I, these are the essential qualifications of this role:
Guide on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the organization
Interpret the meaning of new strategic directions and set objectives and measurements
Implement monitoring and feedback systems to evaluate progress and identify ways of making continuous improvements
Capture and analyze information or data on current and future trends
Seek information on issues impacting the progress of organizational and process issues
Educate the organization on approaches, such as testing hypotheses and statistical validation of result
Help the organization understand the principles and the math behind the scientist process to drive organizational alignment
Translate up to date information into continuous improvement activities that enhance performance
Research organizational and professional trends, evaluate information sources, and collate and compare findings for bias, omission and accuracy, conduct objective analysis
Establish positive working relationships across multiple business and technology partners, program and project managers
Participate in knowledge transfer within the team and business units

Job Requirements What can you bring to TD? Tell us about your most relevant experience, credentials and knowledge for this role, as well as these essential requirements and attributes:
Undergraduate degree or technical certificate
Five (5) or more years of relevant experience

Inclusiveness
At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.

**Province/State (Primary) Ontario

City (Primary) Toronto",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,Data Scientist,Walmart Canada,"Mississauga, ON",5 days ago,"The Data Scientist represents the foundation of a data driven culture that has made Wal-Mart an leader in the retail industry. Individual in this role will use a wealth of ecommerce, physical store and external data available to understand customer behaviour improve operational efficiencies and provide actionable insights to stakeholders so they can make smarter, data-driven decisions.
The successful candidate will have an established background in solving complex problems, a strong technical ability, excellent project management skills, great communication skills, and the motivation to achieve results in a fast-paced environment. Our team is small, creative, diligent, highly entrepreneurial and business-focused.
Position Responsibilities
Extract data using data mining techniques to uncover trends and derive insights; analyze forecasting metrics, perform exploratory data analysis with the goal to uncover trends, find root causes of forecast inaccuracies and develop innovative features that can drive additional value
Solve complex data science problems using the breadth of tools available at Walmart – including problem framing, data preparation, model building, model deployment and output consumption in the form of dashboards
Manage stakeholder expectations and design data science solutions which align with our pillars of maximizing revenue, reducing costs and improve customer experience
Perform ad-hoc analysis and present results concisely and persuasively to stakeholders
Highly driven, results-oriented, creative and a problem solver with an ability to prioritize and set direction in a fast moving environment; Possess a curious attitude with collaborative and resourceful working style
Enable others in the organization to utilize your work by sharing your work as well as act as an ambassador for Data Science within Walmart Canada
Canada Walmart DivisioneCommerce
Qualifications
Degree in a STEM discipline (applied mathematics, computer science, statistics, engineering, machine learning, econometrics etc.)
Familiarity with the consultative process which cater to the internal clients’ advanced analytics needs
Hands-on experience building and implementing predictive models using machine learning algorithms
Knowledge of building time-series models by taking into account dynamic variables
Good knowledge of best practices in Statistics and Machine Learning
Strong project management skills
Fluency in Python/R and familiarity with big data technologies like Hadoop
Must be able to explain technical concepts and analyses implications (tell a data story) clearly to a wide business audience/possess excellent communication skills, and be able to translate business objectives into actionable analyses
Experience in e-commerce or a related field is an asset
AccessibilityWalmart will accommodate the disability-related needs of applicants and associates as required by law.",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
5,Full-time opportunities for students & recent graduates: Data & Applied Sciences,Microsoft,Canada,30+ days ago,"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.
Do you want to work on a meaningful and impactful project and make a difference?
Are you willing to learn from others and open to new ideas?
Do you want to support others to succeed and operate in a highly-collaborative and global environment?
If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.
Read on to learn more about opportunities and apply online!
Applications to these opportunities are considered for all available Data & Applied Sciences roles including the ones described below, depending on education level and/or location. To be considered as a student or recent graduate, you should be within 12 months of graduation or graduated within the last 12 months.
Data Science
Opportunities for Data Scientists—one of today’s hottest jobs—are rapidly growing in response to the exponential amounts of data being captured and analyzed. Microsoft looks to hire Data Scientists to find insights and to solve meaningful business problems.
The Data Science domain is growing rapidly and we are interested in people with diverse multi-disciplinary backgrounds, engineering and analytical skills, ruthless curiosity, and the motivation to improve product quality with data. If you consistently use data to improve the world around you and have the energy and flexibility to help us build a world class team, come join us to change the world of computing.
Data Science Consultant/Architect
Service delivery professionals, both Consultants and Architects, work to deliver technical solutions directly with the customer, helping them to maximize their investment in Microsoft technology. This requires a willingness to bring order to often ambiguous and complex implementations. Applicants should and be strategic and forward looking, so solutions scale to future business and technical needs.
Responsibilities
Data Science
As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.
You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.
Data Science Consultant/Architect
Building upon solid analytical and IT project experience, these professionals will work with to assist customers in the delivery of high quality engagements around Microsoft's solution areas, technologies, services and products in diverse client environments. Delivery professionals will also help assist customers: in stabilizing developed solutions using Microsoft methodologies in complex customer environments, in the design and development of integrated solutions using the latest Microsoft products, services and technologies and in understanding the relevant application development, infrastructure and operations implications of the developed solution.

Qualifications
A bachelor’s or master’s in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field (within 12 months of graduation).
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
6,Data Scientist I,Ingram Micro,"Toronto, ON",1 day ago,"Ingram Micro helps businesses fully realize the promise of technology.TM No other company delivers the full spectrum of global technology and supply chain services to businesses around the world. Ingram Micro’s global infrastructure and deep expertise in technology solutions, supply chain, cloud and mobility enable its business partners to operate efficiently and successfully in the markets they serve. Combined with distinct market insights and the trust and dependability generated from decades of strong partner relationships, Ingram Micro stands apart as the global technology services provider for the future.
Data Scientist I - one opportunity available

Responsibilities:

Develops and analyzes data models that generate knowledge into the project owner’s business objectives. Utilizes reports of findings and creates appropriate materials to communicate the findings.

He or she will maintain a broad understanding of Ingram Micro’s business model along with becoming educated on particular vendors, customers, or internal division’s business models and needs.

Requirements:

Education:

Degree (Bachelor or Master) in a strongly quantitative field such as: Statistics, Applied Mathematics, Operations Research, Computer Science, or Econometrics Bachelor’s degree with 2-5 years’ relevant experience or Master’s degree with 1 year relative research/project experience

Experience:

a. Experience in analyzing large data sets, identifying trends and patterns preferred.

b. Knowledge and experience of tools for data mining, statistics, analysis, and scripting (e.g., R, SAS, Scala, MATLAB, Python).

c. Experience with cleaning, aggregating, and pre-processing data from varied sources. Experience using SQL queries for standard as well as ad hoc data mining purposes.

d. Ability to visualize data and analytical results, and communicate effectively with internal and external contacts.

Ingram Micro Inc. is committed to creating a diverse environment and is proud to be an equal opportunity employer. We are dedicated to fostering an inclusive and accessible environment where all associates are valued, respected and supported. As such, we will accommodate disabilities during the selection process and will work with you to meet your requirements.",0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7,Junior Data Scientist,RBC,"Toronto, ON",3 days ago,"What is the opportunity?
As Machine Learning (ML) methods grow in importance at RBC, it is essential for Enterprise Model Risk Management (EMRM) to establish policies and procedures to control model risk and regulatory risk for these classes of models. A machine learning engineer is needed to focus full-time on implementation of ML validation plans to prepare for widespread adoption of ML models and ensure that EMRM stays current with industry and academic developments in the field. A significant component of this role is to work with the ML research scientists in the team in order to assist implementation of the research methodologies and also design reusable code to improve validation efficiency.
What will you do?
Participate in cutting edge research in machine intelligence and machine learning applications
Establish scalable, efficient, automated processes for large scale data analyses, neural networks, model validation, and model implementation
Use machine learning, data mining and statistical techniques to create new scalable and predictive models
Research and implement novel machine learning & statistical models/approaches across multiple industries working with cross-functional business teams
Model risk management guards against possible adverse financial, regulatory, and/or reputational impacts arising from the use/misuse of models
A failure to effectively prepare for and manage emerging model risk related to Machine Learning would subject RBC to unwarranted potential financial, regulatory, and reputational risks
Partnership with EMRM ML validation research scientist that will consist of: employ ML solutions to validation problems, such as development of benchmark models and assist in coding and implementation of the research outputs and create modular scalable ML validation tools.
What do you need to succeed?
Must have
M.Sc./ PhD in Computer Science, Computer/Electrical Engineering or a similar discipline
2+ years of relevant experience or education in machine learning engineering
Proficient programming skills in Python, R and SQL
Familiar with popular ML frameworks and libraries (tidyverse, xgboost, Pytorch, Keras, Tensorflow, airflow, pandas, numpy, etc)
Comfortable with command line tools in a Linux or Windows environment e.g. Linux (bash, Powershell, ssh, etc)
Nice to have
Experience with version control using Git
Exposure to the Big Data ecosystem (Spark, Hadoop)
What’s in it for you?
We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, and stock where applicable.Leaders who support your development through coaching and managing opportunities.Ability to make a difference and lasting impact.Work in a dynamic, collaborative, progressive, and high-performing team.Opportunities to do challenging work.Opportunities to take on progressively greater accountabilities.
DAI
About RBC
Royal Bank of Canada is Canada’s largest bank, and one of the largest banks in the world, based on market capitalization. We are one of North America’s leading diversified financial services companies, and provide personal and commercial banking, wealth management, insurance, investor services and capital markets products and services on a global basis. We have over 80,000 full- and part-time employees who serve more than 16 million personal, business, public sector and institutional clients through offices in Canada, the U.S. and 37 other countries. For more information, please visit rbc.com.
Inclusion and Equal Opportunity Employment
RBC is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, Aboriginal/Native American status or any other legally-protected factors. Disability-related accommodations during the application process are available upon request.
JOB SUMMARY
City: Toronto
Address: 200 Bay Street
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: Permanent
Career Level: Experienced Hire/Professional
Pay Type: Salary + Variable Bonus
Position Level: PL08
Required Travel(%): 0
Exempt/Non-Exempt: N/A
People Manager: No
Application Deadline: 02/01/2019
Req ID: 180774
Ad Code(s):",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Junior Data Scientist,PUSH,"Toronto, ON",30+ days ago,"PUSH is a world leading sports technology company that builds innovative solutions to help athletes perform at their best. Our technology is intuitive, comprehensive, actionable, and depended on by over 20 professional sports teams and 50+ colleges worldwide as well as hundreds of training facilities and high schools.
As the junior data scientist at PUSH, you will work with the R&D team to develop machine learning algorithms and perform data analytics tasks across different projects. You will use your familiarity with movement analysis methodologies to tailor machine learning solutions that make a difference in both the Sports tech as well as machine learning industry. You will work with the R&D team along with the products development team to implement your solutions for testing and validation as well as to deploy them for production use.
At PUSH, you will:
Get to solve really really challenging problems for elite athletes and coaches all over the world.
Work with world-class sports science researchers on not only testing existing hypotheses in the space but developing new paradigms of thinking.
Work closely with developers who are very passionate about data and analytics.
Make a real impact at the highest level of sport for athletes and teams across the NFL, NHL, MLB, and NBA.

Must haves:
Background in Mathematics, Physics, computer science/engineering, or related fields
Strong Mathematics and Physics background with focus on Algebra and Kinematics/Dynamics analysis
Strong background in machine learning, data analytics, and statistics
Experience in machine learning for analytics and prediction
Strong object-oriented programming skills in C++
Experience using Python for machine learning
Experience using GitHub for code management
Familiar with test-driven agile development
Developed machine learning models for tangible applications
Quick learner and self-driven
Strong communication skills
Excited about Sports and start-up environment
Consider yourself active on a weekly basis

Nice to haves:
Familiar with Google Cloud Platform
Lifted at least 1 ton (1000 kg) at the gym in the past month (number is cumulative, body weight included)
Know your way around FIFA 2019",1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9,Data Scientist Intern - Toronto,"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",13 days ago,"
In process of receiving a graduate degree in an analytical area such as Machine learning, Computer Science, Physics, Mathematics, Statistics, Engineering or similar.
Experience in Analytics or other quantitative disciplines.
Experience with modeling and analysis including machine learning, statistical analysis, operations research and management science and data mining.
Strong interpersonal and communication skills. Must be able to explain technical concepts and analyses implications clearly to a wide audience, and be able to translate business objectives into actionable analyses.
Experience with SQL (any variations thereof), Python/PySpark and/or Scala preferred; though experience with other analytics software (SAS, STATA, MATLAB, Mathematica, R/SparklyR) is acceptable.
Familiarity with AWS solutions such as Glue, S3, and Redshift.
Proven analytical and quantitative skills to use hard data and metrics to back up assumptions, develop business cases, and complete root cause analyses.
Capable of taking responsibility for an initiative and working with minimal direction; self-starter even when assignments are vague or undefined.
Creative in finding new solutions/designing innovative methods, systems, and processes.

We are seeking a Data Scientist with machine learning, analytical, communication, and project management skills to join our team. As part of multi-skilled team engineering teams, and with product owners, you will help identify and solve complex prediction problems to improve inbound supply chain systems modelling supplier behavior so we can offer products to our customers with confidence we will deliver on time. Also, you will develop metrics and reports to measure our impact on Amazon’s business. In a typical day, you will work closely with retail leads, product managers, engineers, and various business groups.

You are an individual with outstanding analytical and machine learning modelling abilities, excellent communication skills, good business understanding, and technically savvy. The successful candidate will be an analytical problem solver who enjoys diving into data, is excited about investigations and algorithms, can multi-task, and can credibly interface between technical teams and business stakeholders.

Responsibilities Include:

Collaborating with colleagues from multidisciplinary science, engineering, and business backgrounds, to identify and reduce gaps in current inventory availability.
Build statistical, predictive and machine learning models to drive sourcing accuracy.
Ensure data quality throughout all stages of acquisition and processing, including data sourcing/collection, ground truth generation, normalization, and transformation.
Promote data-driven decision making across the team, using tools such as Tableau, SQL, and Excel.
Influence leaders to make thoughtful data decisions to provide the most consistent and usable data for all teams across the company.
Combine expert knowledge of statistical methodology and analysis with advanced programming skills to support complex analyzes.
Share/develop best practices with other Amazon teams on a global scale.
Build metrics, reports and dashboard to analyze key inputs to internal systems

",1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
